,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,month 1,accommodates,bathrooms,bedrooms,bed_type,review_scores_rating,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed,Hot_water,no_of_amenities
106,0.0,130.0,0.0,161,2,43,504.0,0.57,1,222,203.0,6,1.0,2.0,4.0,98.0,1.0,1.0,1.0,0.0,0.0,1.0,55
107,7.0,126.0,0.0,65,2,5,502.0,2.11,1,214,175.0,6,2.0,2.0,3.0,100.0,1.0,1.0,0.0,0.0,0.0,1.0,28
108,6.0,49.0,0.0,70,2,103,543.0,1.36,1,42,256.0,5,1.0,2.0,4.0,94.0,1.0,0.0,1.0,1.0,0.0,1.0,29
109,1.0,118.0,0.0,29,150,71,1417.0,0.8,2,359,201.0,2,1.0,1.0,4.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,9
110,1.0,135.0,0.0,80,5,12,577.0,0.14,1,253,211.0,4,1.0,2.0,4.0,90.0,1.0,0.0,1.0,1.0,0.0,1.0,31
111,1.0,134.0,1.0,49,3,374,521.0,4.21,1,5,258.0,2,1.0,1.0,4.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,18
112,6.0,13.0,0.0,49,2,6,518.0,0.08,1,159,269.0,3,1.0,1.0,4.0,100.0,0.0,1.0,1.0,1.0,0.0,1.0,24
113,2.0,104.0,0.0,59,1,28,501.0,0.35,2,16,212.0,4,1.0,1.0,4.0,99.0,1.0,1.0,0.0,0.0,0.0,1.0,39
114,10.0,33.0,1.0,30,1,13,821.0,0.32,1,0,213.0,2,1.5,1.0,4.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,13
115,0.0,130.0,1.0,23,5,15,541.0,0.88,1,190,234.0,1,1.0,1.0,3.0,96.0,1.0,0.0,0.0,1.0,1.0,1.0,45
116,4.0,17.0,1.0,40,5,5,543.0,0.07,1,362,229.0,2,1.0,1.0,3.0,90.0,1.0,1.0,0.0,1.0,0.0,1.0,26
117,5.0,80.0,1.0,35,7,48,528.0,0.63,1,89,245.0,3,1.0,1.0,4.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,16
118,6.0,49.0,0.0,70,4,84,504.0,1.73,1,320,233.0,2,1.0,1.0,4.0,94.0,1.0,1.0,1.0,0.0,0.0,1.0,29
119,6.0,98.0,0.0,80,2,33,869.0,0.38,1,0,184.0,5,2.0,2.0,4.0,96.0,1.0,1.0,1.0,1.0,0.0,1.0,34
120,4.0,2.0,1.0,42,1,1,1411.0,0.03,1,0,202.0,2,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10
121,4.0,2.0,0.0,96,60,31,1262.0,0.37,4,0,231.0,3,1.0,2.0,4.0,94.0,1.0,1.0,1.0,0.0,0.0,1.0,32
122,4.0,2.0,0.0,75,60,56,1263.0,0.71,4,280,216.0,3,1.0,2.0,4.0,94.0,1.0,1.0,1.0,0.0,0.0,1.0,30
123,4.0,2.0,0.0,96,60,41,1262.0,0.5,4,364,238.0,5,1.0,2.0,4.0,93.0,1.0,1.0,1.0,0.0,0.0,0.0,16
124,4.0,2.0,0.0,76,60,81,1271.0,0.98,4,0,140.0,3,1.0,2.0,4.0,93.0,1.0,1.0,1.0,0.0,0.0,1.0,30
125,10.0,111.0,0.0,46,60,8,1161.0,0.09,2,309,101.0,2,1.0,1.0,4.0,89.0,0.0,1.0,1.0,1.0,0.0,1.0,15
126,1.0,115.0,0.0,296,1,18,506.0,0.31,3,331,248.0,6,2.0,3.0,4.0,93.0,0.0,1.0,1.0,0.0,0.0,1.0,44
127,1.0,115.0,0.0,244,1,17,532.0,0.2,3,333,200.0,6,2.0,2.0,4.0,83.0,1.0,1.0,1.0,0.0,0.0,1.0,50
128,7.0,87.0,1.0,20,1,11,510.0,0.48,1,0,187.0,2,2.0,3.0,4.0,94.0,1.0,0.0,0.0,1.0,0.0,1.0,24
129,1.0,135.0,0.0,50,3,1,1637.0,0.03,1,1,200.0,2,1.0,1.0,4.0,80.0,0.0,1.0,1.0,0.0,0.0,0.0,8
130,0.0,120.0,0.0,59,2,39,523.0,0.49,1,96,247.0,3,1.0,1.0,4.0,93.0,0.0,1.0,0.0,0.0,0.0,0.0,9
131,5.0,101.0,0.0,75,2,71,1430.0,0.83,1,243,226.0,3,1.0,1.0,4.0,97.0,1.0,0.0,1.0,1.0,0.0,1.0,19
132,6.0,91.0,0.0,170,2,118,510.0,1.42,1,244,257.0,12,1.5,3.0,4.0,96.0,1.0,1.0,1.0,1.0,0.0,1.0,46
133,0.0,79.0,0.0,39,60,18,540.0,0.23,1,202,290.0,1,1.0,1.0,4.0,96.0,1.0,1.0,0.0,1.0,0.0,1.0,28
134,1.0,118.0,1.0,39,2,385,504.0,4.36,2,167,257.0,1,1.0,1.0,4.0,98.0,0.0,0.0,0.0,0.0,0.0,1.0,12
135,4.0,2.0,0.0,64,1,389,503.0,4.46,3,287,263.0,2,1.0,1.0,4.0,92.0,0.0,1.0,0.0,0.0,0.0,1.0,14
136,6.0,90.0,1.0,35,15,15,1255.0,0.19,1,0,240.0,3,1.0,1.0,4.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,13
137,0.0,79.0,0.0,100,2,350,507.0,4.21,1,272,234.0,5,1.0,1.0,4.0,94.0,1.0,1.0,1.0,1.0,0.0,1.0,48
138,6.0,49.0,0.0,375,2,36,499.0,0.86,3,224,218.0,6,2.5,4.0,4.0,98.0,1.0,1.0,1.0,0.0,0.0,1.0,24
139,5.0,101.0,1.0,29,7,14,586.0,0.16,1,258,245.0,1,1.5,1.0,4.0,93.0,0.0,1.0,0.0,0.0,0.0,0.0,7
140,10.0,110.0,0.0,32,62,51,564.0,0.65,1,205,216.0,2,1.0,1.0,4.0,93.0,1.0,1.0,0.0,1.0,0.0,1.0,28
141,11.0,109.0,0.0,45,2,2,2042.0,0.03,4,86,253.0,4,1.0,1.0,4.0,100.0,1.0,1.0,1.0,0.0,0.0,1.0,20
142,11.0,109.0,0.0,120,3,7,723.0,0.13,4,86,198.0,10,1.5,2.0,4.0,77.0,1.0,1.0,1.0,0.0,0.0,1.0,21
143,4.0,85.0,1.0,25,2,224,499.0,2.63,1,322,260.0,1,1.0,1.0,4.0,96.0,1.0,0.0,0.0,1.0,0.0,1.0,20
144,9.0,26.0,0.0,59,3,63,542.0,1.03,1,130,244.0,2,1.0,1.0,4.0,97.0,0.0,1.0,1.0,1.0,0.0,1.0,29
145,7.0,124.0,0.0,86,1,4,545.0,0.17,4,87,249.0,5,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
146,6.0,98.0,0.0,45,28,14,2028.0,0.16,1,0,248.0,3,1.0,1.0,4.0,86.0,0.0,0.0,1.0,0.0,0.0,0.0,11
